"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-01",98.33976,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-02",98.64955,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-03",98.96025,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.13481,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.21778,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.32216,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.39557,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.4498,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.48458,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.46545,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-11",99.50893,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2014-12",99.67758,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-01",99.97893,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.2911,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.4626,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.5115,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.4378,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.251,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-07",99.99722,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-08",99.78722,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-09",99.66364,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-10",99.66154,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-11",99.73142,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.77332,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.76099,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.68338,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.57338,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.56274,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.66383,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.81989,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.94318,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.0218,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.1142,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.266,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.4455,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.5781,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.644,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.7118,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.7677,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.8262,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.8472,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.8787,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.974,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.1492,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.4046,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.6245,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.667,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.6666,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.6938,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.7485,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.7409,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.6573,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.5235,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.3918,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.3885,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.3948,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.4076,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-10",101.4231,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-11",101.4654,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2018-12",101.5147,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-01",101.5941,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-02",101.7237,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-03",101.8016,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-04",101.8281,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-05",101.8054,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-06",101.7608,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-07",101.6478,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-08",101.5159,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-09",101.5293,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-10",101.6347,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-11",101.8038,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2019-12",101.9266,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-01",101.8352,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-02",101.3603,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-03",100.563,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-04",99.67033,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-05",99.32137,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-06",99.41422,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-07",99.66991,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-08",99.92449,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-09",100.1899,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-10",100.4152,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-11",100.5237,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2020-12",100.6201,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-01",100.7464,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-02",100.9702,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-03",101.1698,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-04",101.3194,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-05",101.4256,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-06",101.4328,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-07",101.1876,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-08",100.9511,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-09",100.908,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.8665,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-11",100.7931,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2021-12",100.7032,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-01",100.4443,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-02",99.76717,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-03",98.56916,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-04",97.21022,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-05",96.36021,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-06",95.94548,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-07",95.81496,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-08",95.86172,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-09",95.90553,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-10",95.9432,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-11",95.98519,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2022-12",96.22461,
